('Total Revenue', '254,190,000.00', '245,122,000.00', '211,915,000.00', '198,270,000.00', '168,088,000.00')
         673989 function calls (655647 primitive calls) in 1.495 seconds

   Ordered by: call count

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      188    0.000    0.000    0.050    0.000 _parser.py:969(parse)
      188    0.001    0.000    0.005    0.000 _compiler.py:511(_compile_info)
      188    0.001    0.000    0.080    0.000 _compiler.py:740(compile)
      188    0.000    0.000    0.029    0.000 _compiler.py:573(_code)
      188    0.000    0.000    0.000    0.000 _parser.py:77(__init__)
      188    0.000    0.000    0.000    0.000 _parser.py:953(fix_flags)
      188    0.000    0.000    0.000    0.000 _parser.py:231(__init__)
      187    0.000    0.000    0.000    0.000 {method 'isidentifier' of 'str' objects}
    187/4    0.000    0.000    0.192    0.048 <frozen importlib._bootstrap>:911(_load_unlocked)
  187/183    0.000    0.000    0.006    0.000 <frozen importlib._bootstrap>:806(module_from_spec)
      187    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:733(_init_module_attrs)
      187    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:653(has_location)
      174    0.000    0.000    0.004    0.000 _parser.py:98(closegroup)
      174    0.000    0.000    0.000    0.000 _parser.py:86(opengroup)
      171    0.000    0.000    0.000    0.000 {method 'insert' of 'list' objects}
      169    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1588(_get_spec)
      169    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:802(spec_from_file_location)
      169    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:611(_get_cached)
      167    0.000    0.000    0.000    0.000 {method 'split' of 'str' objects}
    162/1    0.001    0.000    1.495    1.495 {built-in method builtins.exec}
  161/158    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:643(_check_name_wrapper)
      161    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:48(_new_module)
      161    0.000    0.000    0.000    0.000 enum.py:202(__get__)
      160    0.000    0.000    0.000    0.000 {built-in method _imp._fix_co_filename}
      160    0.011    0.000    0.011    0.000 {built-in method marshal.loads}
      160    0.006    0.000    0.006    0.000 {built-in method _io.open_code}
      160    0.000    0.000    0.000    0.000 {method '__exit__' of '_io._IOBase' objects}
