('Total Revenue', '254,190,000.00', '245,122,000.00', '211,915,000.00', '198,270,000.00', '168,088,000.00')
         680476 function calls (662099 primitive calls) in 1.716 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      254    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:150(_path_is_mode_type)
      650    0.000    0.000    0.000    0.000 element.py:2203(_normalize_search_value)
     1080    0.000    0.000    0.000    0.000 {built-in method _imp.release_lock}
      394    0.000    0.000    0.000    0.000 enum.py:48(_is_dunder)
      215    0.000    0.000    0.000    0.000 {built-in method _imp.is_builtin}
      314    0.000    0.000    0.000    0.000 {method '_checkClosed' of '_io._IOBase' objects}
       69    0.000    0.000    0.001    0.000 css_parser.py:532(parse_tag_pattern)
      195    0.000    0.000    0.014    0.000 <frozen importlib._bootstrap_external>:1520(find_spec)
        1    0.000    0.000    0.002    0.002 subprocess.py:1(<module>)
      188    0.000    0.000    0.000    0.000 _parser.py:231(__init__)
      163    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:48(_new_module)
       73    0.000    0.000    0.000    0.000 _parser.py:274(getuntil)
      437    0.000    0.000    0.000    0.000 socket.py:79(<lambda>)
      438    0.000    0.000    0.000    0.000 socket.py:84(<lambda>)
      522    0.000    0.000    0.000    0.000 {method '__exit__' of '_thread.RLock' objects}
      606    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1226(__exit__)
      333    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap>:632(cached)
      439    0.000    0.000    0.000    0.000 socket.py:89(<lambda>)
      606    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1222(__enter__)
      375    0.000    0.000    0.000    0.000 typing.py:1134(_is_dunder)
       77    0.000    0.000    0.000    0.000 {built-in method posix.getcwd}
      311    0.000    0.000    0.000    0.000 types.py:192(__init__)
      217    0.000    0.000    0.000    0.000 {built-in method builtins.any}
      952    0.000    0.000    0.000    0.000 {built-in method _sre.unicode_tolower}
      340    0.000    0.000    0.000    0.000 enum.py:38(_is_descriptor)
      508    0.000    0.000    0.000    0.000 {built-in method from_bytes}
      234    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:159(_path_isfile)
        3    0.000    0.000    0.014    0.005 utils.py:1(<module>)
       43    0.000    0.000    0.000    0.000 enum.py:390(__setitem__)
      376    0.000    0.000    0.000    0.000 _compiler.py:570(isstring)
       26    0.000    0.000    0.002    0.000 typing.py:687(Union)
      314    0.000    0.000    0.000    0.000 {method '_checkReadable' of '_io._IOBase' objects}
        1    0.000    0.000    0.002    0.002 pathlib.py:1(<module>)
       43    0.000    0.000    0.250    0.006 response.py:1173(read_chunked)
    68/37    0.000    0.000    0.000    0.000 {built-in method _abc._abc_subclasscheck}
      338    0.000    0.000    0.000    0.000 {method 'rfind' of 'str' objects}
    42/30    0.000    0.000    0.016    0.001 css_parser.py:569(parse_pseudo_class)
      162    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1202(path_stats)
        1    0.000    0.000    0.001    0.001 constant.py:1(<module>)
      159    0.000    0.000    0.000    0.000 typing.py:1246(<genexpr>)
      196    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1128(find_spec)
        1    0.000    0.000    0.000    0.000 quoprimime.py:1(<module>)
      217    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:420(__exit__)
    77/44    0.000    0.000    0.197    0.004 <frozen importlib._bootstrap>:1390(_handle_fromlist)
      556    0.000    0.000    0.000    0.000 {method 'get' of 'mappingproxy' objects}
    84/78    0.000    0.000    0.003    0.000 typing.py:392(inner)
        1    0.000    0.000    0.005    0.005 socket.py:1(<module>)
       12    0.000    0.000    0.000    0.000 enum.py:1414(_missing_)
        1    0.000    0.000    0.089    0.089 css_parser.py:1(<module>)
        1    0.000    0.000    0.040    0.040 dammit.py:67(EntitySubstitution)
      196    0.000    0.000    0.000    0.000 {built-in method _imp.find_frozen}
       34    0.000    0.000    0.000    0.000 ipaddress.py:1651(_ip_int_from_string)
      359    0.000    0.000    0.000    0.000 enum.py:59(_is_sunder)
      518    0.000    0.000    0.000    0.000 {built-in method _thread.get_ident}
       77    0.000    0.000    0.001    0.000 css_types.py:267(__init__)
      267    0.000    0.000    0.000    0.000 {method 'translate' of 'bytearray' objects}
        1    0.000    0.000    0.001    0.001 status_codes.py:109(_init)
        2    0.000    0.000    0.003    0.001 cookies.py:1(<module>)
      188    0.000    0.000    0.000    0.000 _parser.py:953(fix_flags)
      259    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:173(__exit__)
      215    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:982(find_spec)
    38/29    0.000    0.000    0.016    0.001 css_parser.py:732(parse_pseudo_open)
        1    0.000    0.000    0.007    0.007 css_match.py:1(<module>)
      174    0.000    0.000    0.007    0.000 _parser.py:98(closegroup)
       51    0.000    0.000    0.001    0.000 parser.py:123(set_cdata_mode)
    30/17    0.000    0.000    0.226    0.013 {built-in method builtins.__import__}
  136/131    0.000    0.000    0.001    0.000 css_parser.py:375(_freeze_relations)
      161    0.000    0.000    0.000    0.000 enum.py:202(__get__)
       88    0.000    0.000    0.000    0.000 ipaddress.py:1213(_parse_octet)
      160    0.000    0.000    0.001    0.000 typing.py:166(_type_convert)
        1    0.000    0.000    0.000    0.000 stringprep.py:1(<module>)
      261    0.000    0.000    0.000    0.000 element.py:1543(get)
        1    0.000    0.000    0.007    0.007 ssl.py:1(<module>)
       20    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1456(_path_hooks)
       34    0.000    0.000    0.001    0.000 ipaddress.py:2238(__init__)
        1    0.000    0.000    0.000    0.000 ipaddress.py:671(_BaseNetwork)
       22    0.000    0.000    0.000    0.000 util.py:16(lower)
       94    0.000    0.000    0.000    0.000 {method 'update' of 'dict' objects}
      440    0.000    0.000    0.000    0.000 socket.py:94(<lambda>)
